_id,INSPECT_ID,SR_NUM,BEG_DATE,END_DATE,STATUS
15256,173414,HCE-20171206-5135,2018-01-19T00:00:00,2018-01-23T00:00:00,
15257,173411,HCE-20170914-4430,2018-01-22T00:00:00,2018-01-23T00:00:00,
15258,173349,HCE-20171206-5136,2018-01-12T00:00:00,2018-01-17T00:00:00,
15259,173168,HCE-20170926-4565,2018-01-05T00:00:00,2018-01-08T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15260,173140,HCE-20170831-4288,2018-01-05T00:00:00,2018-01-05T00:00:00,
15261,173136,HCE-20170927-4579,2018-01-03T00:00:00,2018-01-05T00:00:00,
15262,173490,HCE-20171204-5111,2018-01-25T00:00:00,2018-01-26T00:00:00,
15263,173464,HCE-20171102-4900,2018-01-24T00:00:00,2018-01-25T00:00:00,
15264,173427,HCE-20171017-4746,2018-01-12T00:00:00,2018-01-23T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15265,173423,HCE-20171017-4752,2018-01-12T00:00:00,2018-01-23T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15266,173284,HCE-20170925-4560,2018-01-11T00:00:00,2018-01-12T00:00:00,
15267,173144,HCE-20170721-3755,2018-01-04T00:00:00,2018-01-05T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15268,173124,HCE-20171115-5019,2018-01-04T00:00:00,2018-01-04T00:00:00,
15269,173419,HCE-20170818-4116,2018-01-22T00:00:00,2018-01-23T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15270,173405,HCE-20171004-4637,2018-01-19T00:00:00,2018-01-22T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15271,173281,HCE-20170713-3667,2017-12-11T00:00:00,2018-01-11T00:00:00,
15272,173205,HCE-20171010-4668,2018-01-08T00:00:00,2018-01-09T00:00:00,
15273,173524,HCE-20171121-5046,2018-01-29T00:00:00,2018-01-29T00:00:00,NO CAUSE FOR ACTION INSPECTION
15274,173523,HCE-20170713-3667,2018-01-24T00:00:00,2018-01-29T00:00:00,
15275,173068,HCE-20180102-1005,2018-01-02T00:00:00,2018-01-03T00:00:00,
15276,173539,HCE-20180125-3715,2018-01-30T00:00:00,2018-01-31T00:00:00,NO CAUSE FOR ACTION INSPECTION
15277,173283,HCE-20171214-5204,2018-01-11T00:00:00,2018-01-12T00:00:00,
15278,173048,HCE-20171026-4854,2017-12-27T00:00:00,2018-01-02T00:00:00,
15279,173296,HCE-20171214-5193,2018-01-11T00:00:00,2018-01-16T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15280,173282,HCE-20171120-5037,2018-01-05T00:00:00,2018-01-11T00:00:00,
15281,173493,HCE-20170913-4420,2018-01-26T00:00:00,2018-01-26T00:00:00,
